lstm_layer_count,lstm_layer_size,hidden_layer_count,hidden_layer_size,loss,categorical_acc,val_loss,val_categorical_acc
1,128,4,512,0.3329989016056061,0.9067103862762451,0.32927727699279785,0.906624972820282
1,128,5,512,0.3328074514865875,0.9066965579986572,0.3290225565433502,0.906624972820282
1,256,4,512,0.3326149880886078,0.9067004919052124,0.3287242352962494,0.906624972820282
1,256,5,512,0.33258333802223206,0.906716525554657,0.32819968461990356,0.906624972820282
2,128,4,512,0.32813015580177307,0.9067127108573914,0.3241174519062042,0.906647801399231
2,128,5,512,0.3280947208404541,0.9067054390907288,0.3241274356842041,0.9066601991653442
2,256,4,512,0.3278237581253052,0.9067034125328064,0.32393279671669006,0.9066730737686157
2,256,5,512,0.3280351161956787,0.9067072868347168,0.3246452212333679,0.9066247940063477
3,128,4,512,0.32795631885528564,0.9067054390907288,0.32391414046287537,0.9066876173019409
3,128,5,512,0.32839179039001465,0.9067283868789673,0.32475149631500244,0.906624972820282
3,256,4,512,0.3283129334449768,0.9067047238349915,0.32435059547424316,0.906622052192688
3,256,5,512,0.32801690697669983,0.9066950082778931,0.32426437735557556,0.906624972820282
