username,beatmap_name,mod_str,count_300,count_100,count_50,count_miss,performance_points,perplexity
Accolibed,Apocalyptica - Reign of Fear [VI],DT,1503,82,1,1,1378,84.52497395
Utami,Foreground Eclipse - Songs Compilation II [Can You See The Distant Journey Awaiting Us],HDDT,2423,68,0,0,1036,59.47377648
shimon,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],HDDT,1624,60,0,0,1066,57.45648263
Utami,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],HDDT,1616,66,2,0,1048,57.18427346
mrekk,Demetori - Seijouki no Pierrot ~ The MadPiero Laughs [Extra Stage],HDDT,1405,70,0,0,1315,56.12381973
Accolibed,VINXIS - Sidetracked Day [Infinity Inside],HDDT,1608,84,0,0,1711,53.75964255
Utami,Fellowship - Glory Days [Maki's Extra],HDNC,1592,84,0,0,1015,52.51591642
Freddie Benson,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],NC,1635,49,0,0,1031,52.0288196
lifeline,FELT - New World [Illusion],HDDT,1117,47,1,0,1256,50.73615579
NyanPotato,xi - Ascension to Heaven [BoshyMan's Extra],HDDT,853,49,0,0,1109,50.3041573
enri,KISIDA KYODAN & THE AKEBOSI ROCKETS - Shitteru? Madousho wa Donki ni mo Naru no yo [shitteru?],HDDT,410,6,0,0,1017,10.60017691
BlackDog5,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDNCHR,330,7,0,0,1068,10.31310965
BlackDog5,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HDDTHR,308,8,0,0,1102,9.488410392
Benthonic,Charlie Clouser - Hello Zepp [Twist],HDDT,399,4,0,0,349,8.648204412
Freddie Benson,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDDTHR,331,5,0,1,1030,8.540299121
BlackDog5,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,325,8,0,0,1073,8.523539214
shimon,Leah Kate - 10 Things I Hate About You (Sped Up & Cut Ver.) [Mommy Issues],HDDT,470,1,0,0,1058,8.0079511
Benthonic,Bruno Mars - Marry You [Insane],HDDT,762,0,0,0,350,7.726441605
gnahus,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,332,1,0,0,1166,5.410113098
maliszewski,Turbo - PADORU / PADORU [Gift],HDDTHR,146,1,0,0,1015,4.316687535
